2026-03-13 12:03:29,891 | INFO | automation | Input text into ('id', 'user-name')
2026-03-13 12:03:29,979 | INFO | automation | Input text into ('id', 'password')
2026-03-13 12:03:29,998 | INFO | automation | Safe click: ('id', 'login-button')
2026-03-13 12:03:30,159 | INFO | automation | Click element: ('id', 'add-to-cart-sauce-labs-backpack')
2026-03-13 12:03:30,533 | INFO | automation | Click element: ('class name', 'shopping_cart_link')
2026-03-13 12:03:30,728 | INFO | automation | Click element: ('id', 'checkout')
2026-03-13 12:03:30,856 | INFO | automation | Input text into ('id', 'first-name')
2026-03-13 12:03:30,936 | INFO | automation | Input text into ('id', 'last-name')
2026-03-13 12:03:31,020 | INFO | automation | Input text into ('id', 'postal-code')
2026-03-13 12:03:31,042 | INFO | automation | Click element: ('id', 'continue')
2026-03-13 12:03:41,452 | INFO | automation | Click element: ('id', 'finish')
2026-03-13 12:03:41,546 | INFO | automation | [ASSERT PASS] Checkout validation
