2026-03-15 22:24:37,891 | INFO | automation | Input text into ('id', 'user-name')
2026-03-15 22:24:37,981 | INFO | automation | Input text into ('id', 'password')
2026-03-15 22:24:38,003 | INFO | automation | Safe click: ('id', 'login-button')
2026-03-15 22:24:38,120 | INFO | automation | Click element: ('id', 'add-to-cart-sauce-labs-backpack')
2026-03-15 22:24:38,216 | INFO | automation | Click element: ('class name', 'shopping_cart_link')
2026-03-15 22:24:38,306 | INFO | automation | Click element: ('id', 'checkout')
2026-03-15 22:24:38,421 | INFO | automation | Input text into ('id', 'first-name')
2026-03-15 22:24:38,492 | INFO | automation | Input text into ('id', 'last-name')
2026-03-15 22:24:38,561 | INFO | automation | Input text into ('id', 'postal-code')
2026-03-15 22:24:38,581 | INFO | automation | Click element: ('id', 'continue')
2026-03-15 22:24:38,670 | INFO | automation | [ASSERT PASS] Checkout validation
