"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12196","test_checkout[test_data0]","tests","2026-03-13","passed","2026-03-13","","test_checkout","",""
"","11167","test_login[test_data1]","tests","2026-03-13","passed","2026-03-13","","test_login","",""
"","998","test_remove_from_cart[test_data2]","tests","2026-03-13","passed","2026-03-13","","test_remove_from_cart","",""
"","1489","test_checkout[test_data1]","tests","2026-03-13","passed","2026-03-13","","test_checkout","",""
"","1411","test_checkout[test_data2]","tests","2026-03-13","passed","2026-03-13","","test_checkout","",""
"","11078","test_login[test_data3]","tests","2026-03-13","passed","2026-03-13","","test_login","",""
"","10976","test_login[test_data2]","tests","2026-03-13","passed","2026-03-13","","test_login","",""
"","783","test_login[test_data0]","tests","2026-03-13","passed","2026-03-13","","test_login","",""
"","12370","test_login[test_data4]","tests","2026-03-13","passed","2026-03-13","","test_login","",""
"","1052","test_inventory[test_data2]","tests","2026-03-13","passed","2026-03-13","","test_inventory","",""
"","1361","test_checkout[test_data3]","tests","2026-03-13","passed","2026-03-13","","test_checkout","",""
"","996","test_add_to_cart[test_data2]","tests","2026-03-13","passed","2026-03-13","","test_add_to_cart","",""
"","1730","test_logout[test_data1]","tests","2026-03-13","passed","2026-03-13","","test_logout","",""
