2026-03-15 21:41:19,949 | INFO | automation | Input text into ('id', 'user-name')
2026-03-15 21:41:20,036 | INFO | automation | Input text into ('id', 'password')
2026-03-15 21:41:20,054 | INFO | automation | Safe click: ('id', 'login-button')
2026-03-15 21:41:20,176 | INFO | automation | Click element: ('id', 'add-to-cart-sauce-labs-backpack')
2026-03-15 21:41:20,267 | INFO | automation | Click element: ('class name', 'shopping_cart_link')
2026-03-15 21:41:20,359 | INFO | automation | Click element: ('id', 'checkout')
2026-03-15 21:41:20,491 | INFO | automation | Input text into ('id', 'first-name')
2026-03-15 21:41:20,557 | INFO | automation | Input text into ('id', 'last-name')
2026-03-15 21:41:20,623 | INFO | automation | Input text into ('id', 'postal-code')
2026-03-15 21:41:20,642 | INFO | automation | Click element: ('id', 'continue')
2026-03-15 21:41:31,006 | INFO | automation | Click element: ('id', 'finish')
2026-03-15 21:41:31,071 | INFO | automation | [ASSERT PASS] Checkout validation
