2026-03-15 21:18:39,172 | INFO | automation | Input text into ('id', 'user-name')
2026-03-15 21:18:39,262 | INFO | automation | Input text into ('id', 'password')
2026-03-15 21:18:39,283 | INFO | automation | Safe click: ('id', 'login-button')
2026-03-15 21:18:39,405 | INFO | automation | Click element: ('id', 'add-to-cart-sauce-labs-backpack')
2026-03-15 21:18:39,507 | INFO | automation | Click element: ('class name', 'shopping_cart_link')
2026-03-15 21:18:39,598 | INFO | automation | Click element: ('id', 'checkout')
2026-03-15 21:18:39,721 | INFO | automation | Input text into ('id', 'first-name')
2026-03-15 21:18:39,790 | INFO | automation | Input text into ('id', 'last-name')
2026-03-15 21:18:39,851 | INFO | automation | Input text into ('id', 'postal-code')
2026-03-15 21:18:39,870 | INFO | automation | Click element: ('id', 'continue')
2026-03-15 21:18:39,958 | INFO | automation | [ASSERT PASS] Checkout validation
