2026-03-15 21:41:31,912 | INFO | automation | Input text into ('id', 'user-name')
2026-03-15 21:41:31,997 | INFO | automation | Input text into ('id', 'password')
2026-03-15 21:41:32,017 | INFO | automation | Safe click: ('id', 'login-button')
2026-03-15 21:41:32,137 | INFO | automation | Click element: ('id', 'add-to-cart-sauce-labs-backpack')
2026-03-15 21:41:32,230 | INFO | automation | Click element: ('class name', 'shopping_cart_link')
2026-03-15 21:41:32,318 | INFO | automation | Click element: ('id', 'checkout')
2026-03-15 21:41:32,429 | INFO | automation | Input text into ('id', 'first-name')
2026-03-15 21:41:32,498 | INFO | automation | Input text into ('id', 'last-name')
2026-03-15 21:41:32,565 | INFO | automation | Input text into ('id', 'postal-code')
2026-03-15 21:41:32,584 | INFO | automation | Click element: ('id', 'continue')
2026-03-15 21:41:32,669 | INFO | automation | [ASSERT PASS] Checkout validation
