2026-03-10 22:23:53,915 | INFO | automation | Input text into ('id', 'user-name')
2026-03-10 22:23:54,031 | INFO | automation | Input text into ('id', 'password')
2026-03-10 22:23:54,051 | INFO | automation | Safe click: ('id', 'login-button')
2026-03-10 22:23:54,311 | INFO | automation | Click element: ('id', 'add-to-cart-sauce-labs-backpack')
2026-03-10 22:23:54,502 | INFO | automation | [ASSERT PASS] Cart count validation
2026-03-10 22:24:01,925 | INFO | automation | Input text into ('id', 'user-name')
2026-03-10 22:24:02,020 | INFO | automation | Input text into ('id', 'password')
2026-03-10 22:24:02,046 | INFO | automation | Safe click: ('id', 'login-button')
2026-03-10 22:24:02,247 | INFO | automation | Click element: ('id', 'add-to-cart-sauce-labs-backpack')
2026-03-10 22:24:02,377 | INFO | automation | [ASSERT PASS] Cart count validation
2026-03-10 22:24:09,482 | INFO | automation | Input text into ('id', 'user-name')
2026-03-10 22:24:09,588 | INFO | automation | Input text into ('id', 'password')
2026-03-10 22:24:09,611 | INFO | automation | Safe click: ('id', 'login-button')
2026-03-10 22:24:09,801 | INFO | automation | Click element: ('id', 'add-to-cart-sauce-labs-backpack')
2026-03-10 22:24:09,946 | INFO | automation | [ASSERT PASS] Cart count validation
2026-03-10 22:24:17,023 | INFO | automation | Input text into ('id', 'user-name')
2026-03-10 22:24:17,099 | INFO | automation | Input text into ('id', 'password')
2026-03-10 22:24:17,120 | INFO | automation | Safe click: ('id', 'login-button')
2026-03-10 22:24:17,368 | ERROR | error_handler | Test Failed
2026-03-10 22:24:17,368 | ERROR | error_handler | Exception Type: AssertionError
2026-03-10 22:24:17,368 | ERROR | error_handler | Exception Message: Intentional assertion failure
2026-03-10 22:24:17,368 | ERROR | error_handler | [ASSERTION_ERROR] Business logic failed
2026-03-10 22:24:17,532 | ERROR | automation | Screenshot saved: reports\screenshots\tests.test_assertion_failure_test_assertion_failure_20260310_222417.png
2026-03-10 22:24:24,974 | INFO | automation | Input text into ('id', 'user-name')
2026-03-10 22:24:25,089 | INFO | automation | Input text into ('id', 'password')
2026-03-10 22:24:25,115 | INFO | automation | Safe click: ('id', 'login-button')
2026-03-10 22:24:25,344 | INFO | automation | Click element: ('id', 'add-to-cart-sauce-labs-backpack')
2026-03-10 22:24:25,502 | INFO | automation | Click element: ('class name', 'shopping_cart_link')
2026-03-10 22:24:25,645 | INFO | automation | Click element: ('id', 'checkout')
2026-03-10 22:24:25,814 | INFO | automation | Input text into ('id', 'first-name')
2026-03-10 22:24:25,890 | INFO | automation | Input text into ('id', 'last-name')
2026-03-10 22:24:25,968 | INFO | automation | Input text into ('id', 'postal-code')
2026-03-10 22:24:25,991 | INFO | automation | Click element: ('id', 'continue')
2026-03-10 22:24:36,357 | INFO | automation | Click element: ('id', 'finish')
2026-03-10 22:24:36,491 | INFO | automation | [ASSERT PASS] Checkout validation
2026-03-10 22:24:43,795 | INFO | automation | Input text into ('id', 'user-name')
2026-03-10 22:24:43,908 | INFO | automation | Input text into ('id', 'password')
2026-03-10 22:24:43,933 | INFO | automation | Safe click: ('id', 'login-button')
2026-03-10 22:24:44,080 | INFO | automation | Click element: ('id', 'add-to-cart-sauce-labs-backpack')
2026-03-10 22:24:44,204 | INFO | automation | Click element: ('class name', 'shopping_cart_link')
2026-03-10 22:24:44,320 | INFO | automation | Click element: ('id', 'checkout')
2026-03-10 22:24:44,455 | INFO | automation | Input text into ('id', 'first-name')
2026-03-10 22:24:44,540 | INFO | automation | Input text into ('id', 'last-name')
2026-03-10 22:24:44,626 | INFO | automation | Input text into ('id', 'postal-code')
2026-03-10 22:24:44,652 | INFO | automation | Click element: ('id', 'continue')
2026-03-10 22:24:44,787 | INFO | automation | [ASSERT PASS] Checkout validation
