2026-03-15 22:26:07,243 | INFO | automation | Input text into ('id', 'user-name')
2026-03-15 22:26:07,347 | INFO | automation | Input text into ('id', 'password')
2026-03-15 22:26:07,369 | INFO | automation | Safe click: ('id', 'login-button')
2026-03-15 22:26:07,537 | INFO | automation | Click element: ('id', 'add-to-cart-sauce-labs-backpack')
2026-03-15 22:26:07,663 | INFO | automation | Click element: ('class name', 'shopping_cart_link')
2026-03-15 22:26:07,768 | INFO | automation | Click element: ('id', 'checkout')
2026-03-15 22:26:07,881 | INFO | automation | Input text into ('id', 'first-name')
2026-03-15 22:26:07,964 | INFO | automation | Input text into ('id', 'last-name')
2026-03-15 22:26:08,056 | INFO | automation | Input text into ('id', 'postal-code')
2026-03-15 22:26:08,083 | INFO | automation | Click element: ('id', 'continue')
2026-03-15 22:26:08,186 | INFO | automation | [ASSERT PASS] Checkout validation
