2026-03-11 09:14:27,187 | INFO | automation | Input text into ('id', 'user-name')
2026-03-11 09:14:27,342 | INFO | automation | Input text into ('id', 'password')
2026-03-11 09:14:27,365 | INFO | automation | Safe click: ('id', 'login-button')
2026-03-11 09:14:27,595 | INFO | automation | Click element: ('id', 'add-to-cart-sauce-labs-backpack')
2026-03-11 09:14:27,743 | INFO | automation | Click element: ('class name', 'shopping_cart_link')
2026-03-11 09:14:27,861 | INFO | automation | Click element: ('id', 'checkout')
2026-03-11 09:14:28,014 | INFO | automation | Input text into ('id', 'first-name')
2026-03-11 09:14:28,104 | INFO | automation | Input text into ('id', 'last-name')
2026-03-11 09:14:28,179 | INFO | automation | Input text into ('id', 'postal-code')
2026-03-11 09:14:28,201 | INFO | automation | Click element: ('id', 'continue')
2026-03-11 09:14:28,305 | INFO | automation | [ASSERT PASS] Checkout validation
