2026-03-11 09:14:10,438 | INFO | automation | Input text into ('id', 'user-name')
2026-03-11 09:14:10,554 | INFO | automation | Input text into ('id', 'password')
2026-03-11 09:14:10,578 | INFO | automation | Safe click: ('id', 'login-button')
2026-03-11 09:14:10,743 | INFO | automation | Click element: ('id', 'add-to-cart-sauce-labs-backpack')
2026-03-11 09:14:10,874 | INFO | automation | Click element: ('class name', 'shopping_cart_link')
2026-03-11 09:14:10,987 | INFO | automation | Click element: ('id', 'checkout')
2026-03-11 09:14:11,120 | INFO | automation | Input text into ('id', 'first-name')
2026-03-11 09:14:11,207 | INFO | automation | Input text into ('id', 'last-name')
2026-03-11 09:14:11,296 | INFO | automation | Input text into ('id', 'postal-code')
2026-03-11 09:14:11,320 | INFO | automation | Click element: ('id', 'continue')
2026-03-11 09:14:11,419 | INFO | automation | [ASSERT PASS] Checkout validation
